Time-(numerical),Time-(readable),CPU_perc,Mem_perc,cpu_freq_MHz,disk_read_MBps,disk_write_MBps,net_sent_MBps,net_recv_MBps,trigger_ctx
1760397222.8296041,2025-10-13T18:13:42,21.1,79.3,1711.0,0.18,0.106,0.006,0.004,
1760397223.8598006,2025-10-13T18:13:43,16.9,79.3,1711.0,0.054,0.393,0.01,0.008,
1760397224.8939302,2025-10-13T18:13:44,20.3,79.1,1711.0,0.0,0.913,0.006,0.01,
1760397225.9296634,2025-10-13T18:13:45,19.6,79.3,1711.0,0.07,0.106,0.007,0.001,
1760397226.9686651,2025-10-13T18:13:46,16.8,79.3,1711.0,0.001,0.537,0.0,0.0,
1760397228.0006506,2025-10-13T18:13:48,17.1,79.3,1711.0,0.0,0.102,0.0,0.001,
1760397229.034629,2025-10-13T18:13:49,14.9,79.3,1711.0,0.001,0.188,0.001,0.001,
1760397230.0749848,2025-10-13T18:13:50,17.0,79.1,1711.0,0.041,0.295,0.0,0.0,
1760397231.1112223,2025-10-13T18:13:51,15.4,79.1,1711.0,0.0,0.0,0.004,0.005,
1760397232.145928,2025-10-13T18:13:52,15.4,79.1,1711.0,0.0,0.254,0.0,0.0,
1760397233.1825366,2025-10-13T18:13:53,16.2,79.2,1711.0,0.0,0.352,0.007,0.0,
1760397234.2182195,2025-10-13T18:13:54,18.0,79.1,1711.0,0.0,0.205,0.005,0.007,
1760397235.2591434,2025-10-13T18:13:55,26.5,79.1,1711.0,0.004,0.532,0.0,0.001,
1760397236.2964232,2025-10-13T18:13:56,18.2,79.1,1711.0,0.0,0.188,0.0,0.0,
1760397237.3348339,2025-10-13T18:13:57,18.0,79.2,1711.0,0.0,0.16,0.002,0.002,
1760397238.376266,2025-10-13T18:13:58,19.0,79.2,1711.0,0.001,0.045,0.008,0.001,
1760397239.4111233,2025-10-13T18:13:59,27.4,79.0,1711.0,0.48,0.0,0.022,0.034,
1760397240.440144,2025-10-13T18:14:00,24.3,79.0,1711.0,0.037,0.143,0.016,0.007,
1760397241.4668708,2025-10-13T18:14:01,19.0,79.1,1711.0,0.0,0.307,0.0,0.0,
1760397242.4977636,2025-10-13T18:14:02,29.8,79.2,1711.0,0.0,0.045,0.003,0.006,
